Escuela_ID;Total_Alumnos_por_Escuela_ID;DESEMPEÑO;Total_Alumnos_por_Tipo_de_Desempeño;Desempeño_por_Escuela
1985;285;Medio;94;32.98
1987;278;Avanzado;48;17.27
1987;278;Básico;73;26.26
1987;278;Crítico;28;10.07
1987;278;Medio;129;46.4
1989;152;Avanzado;7;4.61
1989;152;Básico;50;32.89
1989;152;Crítico;41;26.97
1989;152;Medio;54;35.53
1993;135;Avanzado;10;7.41
1993;135;Básico;3;2.22
1993;135;Crítico;14;10.37
1993;135;Medio;30;22.22
1995;134;Avanzado;25;18.66
1995;134;Básico;32;23.88
1995;134;Crítico;5;3.73
1995;134;Medio;72;53.73
1998;297;Avanzado;28;9.43
1998;297;Básico;84;28.28
1998;297;Crítico;54;18.18
1998;297;Medio;131;44.11
1999;257;Avanzado;11;4.28
1999;257;Básico;60;23.35
1999;257;Crítico;88;34.24
1999;257;Medio;83;32.3
2001;228;Avanzado;33;14.47
2001;228;Básico;51;22.37
2001;228;Crítico;23;10.09
2001;228;Medio;118;51.75
2007;277;Avanzado;67;24.19
2007;277;Básico;41;14.8
2007;277;Crítico;36;13.0
2007;277;Medio;133;48.01
2015;368;Avanzado;67;18.21
2015;368;Básico;81;22.01
2015;368;Crítico;105;28.53
2015;368;Medio;115;31.25
2017;306;Avanzado;55;17.97
2017;306;Básico;96;31.37
2017;306;Crítico;39;12.75
2017;306;Medio;114;37.25
2021;273;Avanzado;44;16.12
2021;273;Básico;69;25.27
2021;273;Crítico;21;7.69
2021;273;Medio;139;50.92
2027;702;Avanzado;174;24.79
2027;702;Básico;115;16.38
2027;702;Crítico;66;9.4
2027;702;Medio;317;45.16
2039;91;Avanzado;22;24.18
2039;91;Básico;14;15.38
2039;91;Crítico;10;10.99
2039;91;Medio;45;49.45
2041;169;Avanzado;16;9.47
2041;169;Básico;59;34.91
2041;169;Crítico;19;11.24
2041;169;Medio;75;44.38
2047;189;Avanzado;1;0.53
2047;189;Básico;51;26.98
2047;189;Crítico;115;60.85
2047;189;Medio;21;11.11
2058;131;Avanzado;28;21.37
2058;131;Básico;31;23.66
2058;131;Crítico;15;11.45
2058;131;Medio;57;43.51
2353;349;Avanzado;48;13.75
2353;349;Básico;83;23.78
2353;349;Crítico;93;26.65
2353;349;Medio;122;34.96
2355;482;Avanzado;46;9.54
2355;482;Básico;118;24.48
2355;482;Crítico;208;43.15
2355;482;Medio;110;22.82
2358;423;Avanzado;102;24.11
2358;423;Básico;74;17.49
2358;423;Crítico;71;16.78
2358;423;Medio;158;37.35
2361;602;Avanzado;160;26.58
2361;602;Básico;131;21.76
2361;602;Crítico;89;14.78
2361;602;Medio;212;35.22
