Escuela_ID;Total_Alumnos_por_Escuela_ID;DESEMPEÑO;Total_Alumnos_por_Tipo_de_Desempeño;Desempeño_por_Escuela
1960;38;Medio;15;39.47
1961;40;Básico;14;35.0
1961;40;Crítico;23;57.5
1961;40;Medio;3;7.5
1962;146;Avanzado;28;19.18
1962;146;Básico;30;20.55
1962;146;Crítico;14;9.59
1962;146;Medio;74;50.68
1964;279;Avanzado;35;12.54
1964;279;Básico;93;33.33
1964;279;Crítico;44;15.77
1964;279;Medio;107;38.35
1970;258;Avanzado;21;8.14
1970;258;Básico;71;27.52
1970;258;Crítico;62;24.03
1970;258;Medio;104;40.31
1975;103;Avanzado;36;34.95
1975;103;Básico;4;3.88
1975;103;Crítico;6;5.83
1975;103;Medio;57;55.34
1979;635;Avanzado;107;16.85
1979;635;Básico;164;25.83
1979;635;Crítico;36;5.67
1979;635;Medio;328;51.65
1980;446;Avanzado;212;47.53
1980;446;Básico;36;8.07
1980;446;Crítico;14;3.14
1980;446;Medio;184;41.26
1985;285;Avanzado;161;56.49
1985;285;Básico;10;3.51
1985;285;Crítico;20;7.02
1985;285;Medio;94;32.98
1987;278;Avanzado;48;17.27
1987;278;Básico;73;26.26
1987;278;Crítico;28;10.07
1987;278;Medio;129;46.4
1989;152;Avanzado;7;4.61
1989;152;Básico;50;32.89
1989;152;Crítico;41;26.97
1989;152;Medio;54;35.53
1993;57;Avanzado;10;17.54
1993;57;Básico;3;5.26
1993;57;Crítico;14;24.56
1993;57;Medio;30;52.63
1995;134;Avanzado;25;18.66
1995;134;Básico;32;23.88
1995;134;Crítico;5;3.73
1995;134;Medio;72;53.73
1998;297;Avanzado;28;9.43
1998;297;Básico;84;28.28
1998;297;Crítico;54;18.18
1998;297;Medio;131;44.11
1999;242;Avanzado;11;4.55
1999;242;Básico;60;24.79
1999;242;Crítico;88;36.36
1999;242;Medio;83;34.3
2001;225;Avanzado;33;14.67
2001;225;Básico;51;22.67
2001;225;Crítico;23;10.22
2001;225;Medio;118;52.44
2007;277;Avanzado;67;24.19
2007;277;Básico;41;14.8
2007;277;Crítico;36;13.0
2007;277;Medio;133;48.01
2015;368;Avanzado;67;18.21
2015;368;Básico;81;22.01
2015;368;Crítico;105;28.53
2015;368;Medio;115;31.25
2017;304;Avanzado;55;18.09
2017;304;Básico;96;31.58
2017;304;Crítico;39;12.83
2017;304;Medio;114;37.5
2021;273;Avanzado;44;16.12
2021;273;Básico;69;25.27
2021;273;Crítico;21;7.69
2021;273;Medio;139;50.92
2027;672;Avanzado;174;25.89
2027;672;Básico;115;17.11
2027;672;Crítico;66;9.82
2027;672;Medio;317;47.17
2039;91;Avanzado;22;24.18
2039;91;Básico;14;15.38
2039;91;Crítico;10;10.99
2039;91;Medio;45;49.45
2041;169;Avanzado;16;9.47
2041;169;Básico;59;34.91
2041;169;Crítico;19;11.24
2041;169;Medio;75;44.38
2047;188;Avanzado;1;0.53
2047;188;Básico;51;27.13
2047;188;Crítico;115;61.17
2047;188;Medio;21;11.17
2058;131;Avanzado;28;21.37
2058;131;Básico;31;23.66
2058;131;Crítico;15;11.45
2058;131;Medio;57;43.51
2353;346;Avanzado;48;13.87
2353;346;Básico;83;23.99
2353;346;Crítico;93;26.88
2353;346;Medio;122;35.26
2355;482;Avanzado;46;9.54
2355;482;Básico;118;24.48
2355;482;Crítico;208;43.15
2355;482;Medio;110;22.82
2358;405;Avanzado;102;25.19
2358;405;Básico;74;18.27
2358;405;Crítico;71;17.53
2358;405;Medio;158;39.01
2361;592;Avanzado;160;27.03
2361;592;Básico;131;22.13
2361;592;Crítico;89;15.03
