Escuela_ID;CURSO_NORMALIZADO;División;DESEMPEÑO;Alumno_ID
197;4°;C;Avanzado;4
197;4°;C;Básico;3
197;4°;C;Crítico;9
197;4°;C;Medio;5
197;4°;D;Avanzado;7
197;4°;D;Básico;8
197;4°;D;Crítico;3
197;4°;D;Medio;6
197;5°;A;Avanzado;2
197;5°;A;Básico;6
197;5°;A;Crítico;11
197;5°;A;Medio;8
197;5°;B;Avanzado;2
197;5°;B;Básico;6
197;5°;B;Crítico;7
197;5°;B;Medio;13
197;5°;C;Avanzado;4
197;5°;C;Básico;4
197;5°;C;Crítico;10
197;5°;C;Medio;5
197;5°;D;Avanzado;2
197;5°;D;Básico;3
197;5°;D;Crítico;14
197;5°;D;Medio;9
197;6°;A;Avanzado;3
197;6°;A;Básico;1
197;6°;A;Crítico;4
197;6°;A;Medio;14
197;6°;B;Avanzado;3
197;6°;B;Básico;7
197;6°;B;Crítico;3
197;6°;B;Medio;11
197;6°;C;Avanzado;2
197;6°;C;Básico;3
197;6°;C;Crítico;5
197;6°;C;Medio;12
197;6°;D;Crítico;25
197;7°;A;Avanzado;2
197;7°;A;Básico;4
197;7°;A;Crítico;5
197;7°;A;Medio;17
197;7°;B;Avanzado;3
197;7°;B;Básico;4
197;7°;B;Crítico;3
197;7°;B;Medio;19
197;7°;C;Avanzado;4
197;7°;C;Básico;8
197;7°;C;Crítico;7
197;7°;C;Medio;6
197;7°;D;Avanzado;4
197;7°;D;Básico;5
197;7°;D;Crítico;6
197;7°;D;Medio;10
210;2°;A;Avanzado;2
210;2°;A;Básico;7
210;2°;A;Crítico;15
210;2°;A;Medio;2
210;2°;B;Avanzado;1
210;2°;B;Básico;5
210;2°;B;Crítico;15
210;2°;B;Medio;2
210;2°;C;Avanzado;1
210;2°;C;Básico;7
210;2°;C;Crítico;18
210;2°;C;Medio;1
210;3°;A;Avanzado;5
210;3°;A;Básico;7
210;3°;A;Crítico;9
210;3°;A;Medio;6
210;3°;B;Avanzado;5
210;3°;B;Básico;5
210;3°;B;Crítico;10
210;3°;B;Medio;4
210;3°;C;Avanzado;4
210;3°;C;Básico;9
210;3°;C;Crítico;6
210;3°;C;Medio;4
210;4°;A;Avanzado;8
210;4°;A;Básico;3
210;4°;A;Crítico;6
210;4°;A;Medio;10
210;4°;B;Avanzado;4
210;4°;B;Básico;5
210;4°;B;Crítico;7
210;4°;B;Medio;9
210;4°;C;Avanzado;2
210;4°;C;Básico;5
210;4°;C;Crítico;15
210;4°;C;Medio;3
210;5°;A;Avanzado;2
210;5°;A;Básico;5
210;5°;A;Crítico;11
210;5°;A;Medio;9
210;5°;B;Avanzado;6
210;5°;B;Básico;9
210;5°;B;Crítico;7
