Escuela_ID;CURSO_NORMALIZADO;DESEMPEÑO;Alumno_ID
485;2°;Básico;8
485;2°;Crítico;35
485;2°;Medio;1
485;3°;Avanzado;6
485;3°;Básico;10
485;3°;Crítico;19
485;3°;Medio;13
485;4°;Avanzado;1
485;4°;Básico;13
485;4°;Crítico;28
485;4°;Medio;6
485;5°;Avanzado;1
485;5°;Básico;6
485;5°;Crítico;39
485;5°;Medio;4
485;6°;Avanzado;1
485;6°;Básico;10
485;6°;Crítico;10
485;6°;Medio;14
485;7°;Avanzado;2
485;7°;Básico;24
485;7°;Crítico;12
485;7°;Medio;11
486;2°;Avanzado;2
486;2°;Básico;22
486;2°;Crítico;34
486;2°;Medio;5
486;3°;Avanzado;4
486;3°;Básico;18
486;3°;Crítico;30
486;3°;Medio;11
486;4°;Avanzado;6
486;4°;Básico;14
486;4°;Crítico;20
486;4°;Medio;17
486;5°;Avanzado;5
486;5°;Básico;14
486;5°;Crítico;25
486;5°;Medio;16
486;6°;Avanzado;3
486;6°;Básico;16
486;6°;Crítico;11
486;6°;Medio;21
486;7°;Avanzado;1
486;7°;Básico;30
486;7°;Crítico;11
486;7°;Medio;14
494;2°;Básico;3
494;2°;Crítico;32
494;3°;Avanzado;1
494;3°;Básico;9
494;3°;Crítico;10
494;3°;Medio;9
494;4°;Avanzado;3
494;4°;Básico;9
494;4°;Crítico;9
494;4°;Medio;7
494;5°;Avanzado;2
494;5°;Básico;6
494;5°;Crítico;14
494;5°;Medio;3
494;6°;Avanzado;2
494;6°;Básico;4
494;6°;Crítico;6
494;6°;Medio;12
494;7°;Básico;11
494;7°;Crítico;10
494;7°;Medio;9
511;2°;Crítico;15
511;2°;Medio;1
511;3°;Crítico;16
511;4°;Básico;2
511;4°;Crítico;16
511;5°;Básico;1
511;5°;Crítico;8
511;5°;Medio;2
511;6°;Básico;2
511;6°;Crítico;10
511;6°;Medio;1
511;7°;Crítico;4
514;2°;Avanzado;6
514;2°;Básico;12
514;2°;Crítico;54
514;2°;Medio;6
514;3°;Avanzado;8
514;3°;Básico;24
514;3°;Crítico;34
514;3°;Medio;10
514;4°;Avanzado;5
514;4°;Básico;28
514;4°;Crítico;21
514;4°;Medio;16
514;5°;Avanzado;4
514;5°;Básico;20
514;5°;Crítico;23
514;5°;Medio;8
