Supervisión;CURSO_NORMALIZADO;DESEMPEÑO;Alumno_ID
03 - Primario Privada;2°;Medio;209
03 - Primario Privada;3°;Avanzado;324
03 - Primario Privada;3°;Básico;187
03 - Primario Privada;3°;Crítico;60
03 - Primario Privada;3°;Medio;305
03 - Primario Privada;4°;Avanzado;375
03 - Primario Privada;4°;Básico;123
03 - Primario Privada;4°;Crítico;53
03 - Primario Privada;4°;Medio;292
03 - Primario Privada;5°;Avanzado;226
03 - Primario Privada;5°;Básico;190
03 - Primario Privada;5°;Crítico;82
03 - Primario Privada;5°;Medio;348
03 - Primario Privada;6°;Avanzado;373
03 - Primario Privada;6°;Básico;62
03 - Primario Privada;6°;Crítico;34
03 - Primario Privada;6°;Medio;297
03 - Primario Privada;7°;Avanzado;215
03 - Primario Privada;7°;Básico;119
03 - Primario Privada;7°;Crítico;69
03 - Primario Privada;7°;Medio;408
03 - Secundario Orientado;1°;Avanzado;192
03 - Secundario Orientado;1°;Básico;290
03 - Secundario Orientado;1°;Crítico;459
03 - Secundario Orientado;1°;Medio;425
03 - Secundario Orientado;2°;Avanzado;138
03 - Secundario Orientado;2°;Básico;390
03 - Secundario Orientado;2°;Crítico;512
03 - Secundario Orientado;2°;Medio;304
03 - Secundario Orientado;3°;Avanzado;195
03 - Secundario Orientado;3°;Básico;248
03 - Secundario Orientado;3°;Crítico;701
03 - Secundario Orientado;3°;Medio;180
03 - Secundario Orientado;4°;Avanzado;211
03 - Secundario Orientado;4°;Básico;266
03 - Secundario Orientado;4°;Crítico;452
03 - Secundario Orientado;4°;Medio;162
03 - Secundario Orientado;5°;Avanzado;111
03 - Secundario Orientado;5°;Básico;244
03 - Secundario Orientado;5°;Crítico;442
03 - Secundario Orientado;5°;Medio;140
03 - Secundario Orientado Privada;1°;Avanzado;186
03 - Secundario Orientado Privada;1°;Básico;136
03 - Secundario Orientado Privada;1°;Crítico;53
03 - Secundario Orientado Privada;1°;Medio;531
03 - Secundario Orientado Privada;2°;Avanzado;218
03 - Secundario Orientado Privada;2°;Básico;203
03 - Secundario Orientado Privada;2°;Crítico;109
03 - Secundario Orientado Privada;2°;Medio;344
03 - Secundario Orientado Privada;3°;Avanzado;222
03 - Secundario Orientado Privada;3°;Básico;146
03 - Secundario Orientado Privada;3°;Crítico;201
03 - Secundario Orientado Privada;3°;Medio;347
03 - Secundario Orientado Privada;4°;Avanzado;180
03 - Secundario Orientado Privada;4°;Básico;146
03 - Secundario Orientado Privada;4°;Crítico;117
03 - Secundario Orientado Privada;4°;Medio;324
03 - Secundario Orientado Privada;5°;Avanzado;155
03 - Secundario Orientado Privada;5°;Básico;218
03 - Secundario Orientado Privada;5°;Crítico;143
03 - Secundario Orientado Privada;5°;Medio;250
03 - Secundario Técnico;1°;Avanzado;203
03 - Secundario Técnico;1°;Básico;394
03 - Secundario Técnico;1°;Crítico;277
03 - Secundario Técnico;1°;Medio;819
03 - Secundario Técnico;2°;Avanzado;192
03 - Secundario Técnico;2°;Básico;467
03 - Secundario Técnico;2°;Crítico;408
03 - Secundario Técnico;2°;Medio;596
03 - Secundario Técnico;3°;Avanzado;132
03 - Secundario Técnico;3°;Básico;376
03 - Secundario Técnico;3°;Crítico;505
03 - Secundario Técnico;3°;Medio;450
03 - Secundario Técnico;4°;Avanzado;118
03 - Secundario Técnico;4°;Básico;413
03 - Secundario Técnico;4°;Crítico;319
03 - Secundario Técnico;4°;Medio;421
03 - Secundario Técnico;5°;Avanzado;51
03 - Secundario Técnico;5°;Básico;340
03 - Secundario Técnico;5°;Crítico;301
03 - Secundario Técnico;5°;Medio;299
03 - Secundario Técnico;6°;Avanzado;121
03 - Secundario Técnico;6°;Básico;136
03 - Secundario Técnico;6°;Crítico;158
03 - Secundario Técnico;6°;Medio;145
